file;category;confidence
S4-a- (1).JPG;animal;0.00906
S4-a- (1000).JPG;animal;0.00646
S4-a- (1000).JPG;animal;0.946
S4-a- (1000).JPG;animal;0.968
S4-a- (1001).JPG;animal;0.00954
S4-a- (1001).JPG;animal;0.959
S4-a- (1001).JPG;animal;0.968
S4-a- (1002).JPG;animal;0.0266
S4-a- (1002).JPG;animal;0.96
S4-a- (1002).JPG;animal;0.968
S4-a- (1003).JPG;animal;0.00661
S4-a- (1003).JPG;animal;0.958
S4-a- (1003).JPG;animal;0.975
S4-a- (1004).JPG;animal;0.0182
S4-a- (1004).JPG;animal;0.959
S4-a- (1004).JPG;animal;0.978
S4-a- (1005).JPG;animal;0.00584
S4-a- (1005).JPG;animal;0.961
S4-a- (1005).JPG;animal;0.976
S4-a- (1006).JPG;animal;0.442
S4-a- (1006).JPG;animal;0.948
S4-a- (1006).JPG;animal;0.958
S4-a- (1006).JPG;animal;0.97
S4-a- (1007).JPG;animal;0.356
S4-a- (1007).JPG;animal;0.952
S4-a- (1007).JPG;animal;0.958
S4-a- (1007).JPG;animal;0.97
S4-a- (1008).JPG;animal;0.281
S4-a- (1008).JPG;animal;0.959
S4-a- (1008).JPG;animal;0.961
S4-a- (1008).JPG;animal;0.969
S4-a- (1009).JPG;animal;0.962
S4-a- (1009).JPG;animal;0.965
S4-a- (1009).JPG;animal;0.967
S4-a- (1010).JPG;animal;0.96
S4-a- (1010).JPG;animal;0.965
S4-a- (1010).JPG;animal;0.968
S4-a- (1011).JPG;animal;0.961
S4-a- (1011).JPG;animal;0.964
S4-a- (1011).JPG;animal;0.965
S4-a- (1012).JPG;animal;0.944
S4-a- (1012).JPG;animal;0.949
S4-a- (1012).JPG;animal;0.966
S4-a- (1013).JPG;animal;0.934
S4-a- (1013).JPG;animal;0.949
S4-a- (1013).JPG;animal;0.962
S4-a- (1014).JPG;animal;0.932
S4-a- (1014).JPG;animal;0.953
S4-a- (1014).JPG;animal;0.964
S4-a- (1015).JPG;animal;0.954
S4-a- (1015).JPG;animal;0.956
S4-a- (1016).JPG;animal;0.761
S4-a- (1016).JPG;animal;0.845
S4-a- (1016).JPG;animal;0.953
S4-a- (1017).JPG;animal;0.00634
S4-a- (1017).JPG;animal;0.915
S4-a- (1017).JPG;animal;0.957
S4-a- (1017).JPG;animal;0.958
S4-a- (1018).JPG;animal;0.00745
S4-a- (1018).JPG;animal;0.913
S4-a- (1018).JPG;animal;0.919
S4-a- (1018).JPG;animal;0.954
