,Sitio,Año,Camara,Especie,Cantidad,Nombre,Fecha,Hora,Ruta,existe,Rota,esta
0,Sauce,2020,S1,guanaco,1.0,0-S1- (3).JPG,2020-02-05,20:46,Muestreo ct sauce/CT S 2020/S1/0-S1- (3).JPG,True,False,True
1,Sauce,2020,S1,guanaco,1.0,0-S1- (4).JPG,2020-02-05,20:47,Muestreo ct sauce/CT S 2020/S1/0-S1- (4).JPG,True,False,True
2,Sauce,2020,S1,guanaco,1.0,0-S1- (5).JPG,2020-02-05,20:47,Muestreo ct sauce/CT S 2020/S1/0-S1- (5).JPG,True,False,True
3,Sauce,2020,S1,guanaco,1.0,0-S1- (6).JPG,2020-02-05,20:47,Muestreo ct sauce/CT S 2020/S1/0-S1- (6).JPG,True,False,True
4,Sauce,2020,S1,guanaco,4.0,0-S1- (7).JPG,2020-02-05,20:51,Muestreo ct sauce/CT S 2020/S1/0-S1- (7).JPG,True,False,True
5,Sauce,2020,S1,guanaco,4.0,0-S1- (8).JPG,2020-02-05,20:51,Muestreo ct sauce/CT S 2020/S1/0-S1- (8).JPG,True,False,True
6,Sauce,2020,S1,guanaco,4.0,0-S1- (9).JPG,2020-02-05,20:51,Muestreo ct sauce/CT S 2020/S1/0-S1- (9).JPG,True,False,True
7,Sauce,2020,S1,guanaco,4.0,0-S1- (10).JPG,2020-02-05,20:51,Muestreo ct sauce/CT S 2020/S1/0-S1- (10).JPG,True,False,True
8,Sauce,2020,S1,guanaco,4.0,0-S1- (11).JPG,2020-02-05,20:52,Muestreo ct sauce/CT S 2020/S1/0-S1- (11).JPG,True,False,True
9,Sauce,2020,S1,guanaco,5.0,0-S1- (12).JPG,2020-02-05,20:52,Muestreo ct sauce/CT S 2020/S1/0-S1- (12).JPG,True,False,True
10,Sauce,2020,S1,guanaco,5.0,0-S1- (13).JPG,2020-02-05,20:52,Muestreo ct sauce/CT S 2020/S1/0-S1- (13).JPG,True,False,True
11,Sauce,2020,S1,guanaco,1.0,0-S1- (14).JPG,2020-02-07,08:29,Muestreo ct sauce/CT S 2020/S1/0-S1- (14).JPG,True,False,True
12,Sauce,2020,S1,guanaco,1.0,0-S1- (15).JPG,2020-02-07,08:29,Muestreo ct sauce/CT S 2020/S1/0-S1- (15).JPG,True,False,True
13,Sauce,2020,S1,guanaco,1.0,0-S1- (16).JPG,2020-02-07,08:29,Muestreo ct sauce/CT S 2020/S1/0-S1- (16).JPG,True,False,True
14,Sauce,2020,S1,guanaco,1.0,0-S1- (17).JPG,2020-02-07,08:29,Muestreo ct sauce/CT S 2020/S1/0-S1- (17).JPG,True,False,True
15,Sauce,2020,S1,guanaco,2.0,0-S1- (18).JPG,2020-02-07,13:51,Muestreo ct sauce/CT S 2020/S1/0-S1- (18).JPG,True,False,True
16,Sauce,2020,S1,guanaco,2.0,0-S1- (19).JPG,2020-02-07,13:51,Muestreo ct sauce/CT S 2020/S1/0-S1- (19).JPG,True,False,True
17,Sauce,2020,S1,guanaco,2.0,0-S1- (20).JPG,2020-02-07,13:51,Muestreo ct sauce/CT S 2020/S1/0-S1- (20).JPG,True,False,True
18,Sauce,2020,S1,guanaco,2.0,0-S1- (21).JPG,2020-02-07,13:51,Muestreo ct sauce/CT S 2020/S1/0-S1- (21).JPG,True,False,True
19,Sauce,2020,S1,guanaco,2.0,0-S1- (22).JPG,2020-02-07,13:52,Muestreo ct sauce/CT S 2020/S1/0-S1- (22).JPG,True,False,True
20,Sauce,2020,S1,guanaco,1.0,0-S1- (23).JPG,2020-02-07,14:00,Muestreo ct sauce/CT S 2020/S1/0-S1- (23).JPG,True,False,True
21,Sauce,2020,S1,guanaco,1.0,0-S1- (24).JPG,2020-02-08,14:41,Muestreo ct sauce/CT S 2020/S1/0-S1- (24).JPG,True,False,True
22,Sauce,2020,S1,guanaco,1.0,0-S1- (25).JPG,2020-02-09,12:47,Muestreo ct sauce/CT S 2020/S1/0-S1- (25).JPG,True,False,True
23,Sauce,2020,S1,guanaco,1.0,0-S1- (26).JPG,2020-02-09,12:47,Muestreo ct sauce/CT S 2020/S1/0-S1- (26).JPG,True,False,True
24,Sauce,2020,S1,guanaco,1.0,0-S1- (27).JPG,2020-02-09,12:47,Muestreo ct sauce/CT S 2020/S1/0-S1- (27).JPG,True,False,True
25,Sauce,2020,S1,guanaco,1.0,0-S1- (28).JPG,2020-02-09,12:47,Muestreo ct sauce/CT S 2020/S1/0-S1- (28).JPG,True,False,True
26,Sauce,2020,S1,guanaco,4.0,0-S1- (29).JPG,2020-02-09,12:53,Muestreo ct sauce/CT S 2020/S1/0-S1- (29).JPG,True,False,True
27,Sauce,2020,S1,guanaco,4.0,0-S1- (30).JPG,2020-02-09,12:54,Muestreo ct sauce/CT S 2020/S1/0-S1- (30).JPG,True,False,True
28,Sauce,2020,S1,guanaco,4.0,0-S1- (31).JPG,2020-02-09,12:54,Muestreo ct sauce/CT S 2020/S1/0-S1- (31).JPG,True,False,True
29,Sauce,2020,S1,guanaco,4.0,0-S1- (32).JPG,2020-02-09,12:54,Muestreo ct sauce/CT S 2020/S1/0-S1- (32).JPG,True,False,True
