Ruta;Sitio;Año;Camara;Extra;Archivo;Fecha;Hora;Animal_proba;Animal;Guanaco_proba;Guanaco;Validar;Validado;Especie;Cantidad;burst
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2021\IB1\0-IB1- (805).JPG;Muestreo ct Iberica;2021;IB1;;0-IB1- (805).JPG;21/4/2021;17:12:54;1.0;1;1,67E-05;0.0;TRUE;1;guanaco;1.0;1
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2021\IB1\0-IB1- (825).JPG;Muestreo ct Iberica;2021;IB1;;0-IB1- (825).JPG;22/4/2021;18:36:27;0.92503417;1;0.17698555;0.0;TRUE;1;guanaco;1.0;1
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2021\IB1\1-IB1- (932).JPG;Muestreo ct Iberica;2021;IB1;;1-IB1- (932).JPG;10/5/2021;15:29:46;0.0086410735;0;;;FALSE;1;Guanaco;1.0;1
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2021\IB1\1-IB1- (963).JPG;Muestreo ct Iberica;2021;IB1;;1-IB1- (963).JPG;11/5/2021;03:40:56;1.0;1;1,41E+02;0.0;TRUE;1;zorro gris;2.0;1
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2022\Ib-22 (6)\IMG_0186.JPG;Muestreo ct Iberica;2022;Ib-22 (6);;IMG_0186.JPG;30/4/2022;16:18:36;0.9999994;1;0.6799938;1.0;TRUE;1;guanaco;5.0;2
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2022\Ib-22 (6)\IMG_0187.JPG;Muestreo ct Iberica;2022;Ib-22 (6);;IMG_0187.JPG;30/4/2022;16:18:39;1.0;1;0.9533755;1.0;FALSE;1;Guanaco;1.0;2
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2022\Ib-22 (6)\IMG_0212.JPG;Muestreo ct Iberica;2022;Ib-22 (6);;IMG_0212.JPG;30/4/2022;16:33:02;0.9498431;1;0.78779256;1.0;TRUE;1;guanaco;5.0;2
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2022\Ib-22 (6)\IMG_0236.JPG;Muestreo ct Iberica;2022;Ib-22 (6);;IMG_0236.JPG;30/4/2022;17:50:57;0.9999998;1;0.374187;0.0;TRUE;1;guanaco;2.0;2
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2022\Ib-22 (6)\IMG_0237.JPG;Muestreo ct Iberica;2022;Ib-22 (6);;IMG_0237.JPG;30/4/2022;17:50:59;0.99998623;1;0.12465188;0.0;TRUE;1;guanaco;2.0;3
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0004.JPG;Muestreo ct Iberica;2023;Ib3;;IMG_0004.JPG;7/2/2023;16:06:44;6,32E-05;0;;;FALSE;1;Guanaco;1.0;3
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0007.JPG;Muestreo ct Iberica;2023;Ib3;;IMG_0007.JPG;7/2/2023;16:06:55;4,08E-07;0;;;FALSE;1;Guanaco;1.0;3
