Unnamed: 0,Ruta,Sitio,Año,Camara,Extra,Archivo,Fecha,Hora,Animal_proba,Animal,Guanaco_proba,Guanaco,Validar,Validado,Especie,Cantidad
0,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2021\IB1\0-IB1- (805).JPG,Muestreo ct Iberica,2021,IB1,,0-IB1- (805).JPG,2021-04-21,17:12:54,1.0,1,1.669321e-11,0.0,True,1,SIN ANIMAL,1
1,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2021\IB1\0-IB1- (825).JPG,Muestreo ct Iberica,2021,IB1,,0-IB1- (825).JPG,2021-04-22,18:36:27,0.92503417,1,0.17698555,0.0,True,1,SIN ANIMAL,2
2,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2021\IB1\1-IB1- (932).JPG,Muestreo ct Iberica,2021,IB1,,1-IB1- (932).JPG,2021-05-10,15:29:46,0.0086410735,0,,,False,1,Guanaco,1.0
3,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2021\IB1\1-IB1- (963).JPG,Muestreo ct Iberica,2021,IB1,,1-IB1- (963).JPG,2021-05-11,03:40:56,1.0,1,1.4086529e-05,0.0,True,1,SIN ANIMAL,3
4,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2022\Ib-22 (6)\IMG_0186.JPG,Muestreo ct Iberica,2022,Ib-22 (6),,IMG_0186.JPG,2022-04-30,16:18:36,0.9999994,1,0.6799938,1.0,True,1,SIN ANIMAL,4
5,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2022\Ib-22 (6)\IMG_0187.JPG,Muestreo ct Iberica,2022,Ib-22 (6),,IMG_0187.JPG,2022-04-30,16:18:39,1.0,1,0.9533755,1.0,False,1,Guanaco,1.0
6,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2022\Ib-22 (6)\IMG_0212.JPG,Muestreo ct Iberica,2022,Ib-22 (6),,IMG_0212.JPG,2022-04-30,16:33:02,0.9498431,1,0.78779256,1.0,True,1,SIN ANIMAL,5
7,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2022\Ib-22 (6)\IMG_0236.JPG,Muestreo ct Iberica,2022,Ib-22 (6),,IMG_0236.JPG,2022-04-30,17:50:57,0.9999998,1,0.374187,0.0,True,0,,
8,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2022\Ib-22 (6)\IMG_0237.JPG,Muestreo ct Iberica,2022,Ib-22 (6),,IMG_0237.JPG,2022-04-30,17:50:59,0.99998623,1,0.12465188,0.0,True,0,,
9,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0004.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0004.JPG,2023-02-07,16:06:44,6.3200114e-12,0,,,False,1,Guanaco,1.0
12,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0007.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0007.JPG,2023-02-07,16:06:55,4.0753682e-14,0,,,False,1,Guanaco,1.0
14,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0011.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0011.JPG,2023-02-07,16:07:00,3.8279786e-11,0,,,False,1,Guanaco,1.0
16,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0020.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0020.JPG,2023-02-09,11:45:02,6.617831e-13,0,,,False,1,Guanaco,1.0
18,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0028.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0028.JPG,2023-02-09,12:06:59,4.201586e-13,0,,,False,1,Guanaco,1.0
19,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0039.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0039.JPG,2023-02-09,12:24:34,1.9554746e-12,0,,,False,1,Guanaco,1.0
25,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0094.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0094.JPG,2023-02-09,13:00:14,1.5601299e-07,0,,,False,1,Guanaco,1.0
26,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0118.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0118.JPG,2023-02-09,13:39:43,2.1948834e-15,0,,,False,1,Guanaco,1.0
28,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0184.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0184.JPG,2023-02-11,12:44:03,1.2955394e-10,0,,,False,1,Guanaco,1.0
10,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0005.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0005.JPG,2023-02-11,18:07:32,0.9999848,1,0.2522241,0.0,True,0,,
11,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0006.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0006.JPG,2023-02-11,18:07:34,0.99997425,1,0.24255215,0.0,True,0,,
13,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0010.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0010.JPG,2023-02-13,20:15:44,0.82576007,1,0.0018864592,0.0,True,0,,
15,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0012.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0012.JPG,2023-02-13,20:15:47,0.7206367,1,0.003912119,0.0,True,0,,
17,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0021.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0021.JPG,2023-02-15,01:57:36,0.2872224,0,,,True,0,,
20,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0040.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0040.JPG,2023-02-19,08:57:34,0.9893086,1,0.20950249,0.0,True,0,,
21,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0041.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0041.JPG,2023-02-19,08:57:35,0.9890664,1,0.16628487,0.0,True,0,,
22,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0055.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0055.JPG,2023-02-19,09:53:07,0.9997382,1,0.6859549,1.0,True,0,,
23,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0066.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0066.JPG,2023-02-19,17:27:46,0.99998933,1,0.6356812,1.0,True,0,,
24,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0084.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0084.JPG,2023-02-19,17:47:48,0.9999547,1,0.41710278,0.0,True,0,,
27,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0159.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0159.JPG,2023-05-31,05:41:03,0.86666214,1,0.0063190763,0.0,True,0,,
29,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib7\IMG_0048.JPG,Muestreo ct Iberica,2023,Ib7,,IMG_0048.JPG,2023-02-07,15:29:21,1.4496319e-06,0,,,False,1,Guanaco,1.0
30,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib7\IMG_0122.JPG,Muestreo ct Iberica,2023,Ib7,,IMG_0122.JPG,2023-02-23,15:36:35,0.00036099937,0,,,False,1,Guanaco,1.0
31,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib7\IMG_0138.JPG,Muestreo ct Iberica,2023,Ib7,,IMG_0138.JPG,2023-03-01,15:05:28,8.075913e-08,0,,,False,1,Guanaco,1.0
32,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib7\IMG_0158.JPG,Muestreo ct Iberica,2023,Ib7,,IMG_0158.JPG,2023-03-03,17:19:00,2.862693e-09,0,,,False,1,Guanaco,1.0
33,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib7\IMG_0164.JPG,Muestreo ct Iberica,2023,Ib7,,IMG_0164.JPG,2023-03-03,17:19:45,7.874189e-09,0,,,False,1,Guanaco,1.0
34,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib7\IMG_0167.JPG,Muestreo ct Iberica,2023,Ib7,,IMG_0167.JPG,2023-03-03,17:19:57,3.123103e-10,0,,,False,1,Guanaco,1.0
35,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib7\IMG_0173.JPG,Muestreo ct Iberica,2023,Ib7,,IMG_0173.JPG,2023-03-03,17:21:49,5.7053985e-08,0,,,False,1,Guanaco,1.0
36,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib7\IMG_0177.JPG,Muestreo ct Iberica,2023,Ib7,,IMG_0177.JPG,2023-03-11,09:52:25,5.980383e-11,0,,,False,1,Guanaco,1.0
45,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S1\0-S1- (3).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (3).JPG,2020-02-05,20:46:19,1.0,1,0.8031036,1.0,True,0,,
46,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S1\0-S1- (4).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (4).JPG,2020-02-05,20:47:07,1.0,1,0.7284132,1.0,True,0,,
47,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S1\0-S1- (5).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (5).JPG,2020-02-05,20:47:11,0.9999995,1,0.6770363,1.0,True,0,,
48,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S1\0-S1- (6).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (6).JPG,2020-02-05,20:47:14,0.99999934,1,0.6319682,1.0,True,0,,
49,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S1\0-S1- (7).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (7).JPG,2020-02-05,20:51:46,1.0,1,0.746492,1.0,True,0,,
38,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S1\0-S1- (10).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (10).JPG,2020-02-05,20:51:56,0.9999992,1,0.6385619,1.0,True,0,,
39,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S1\0-S1- (11).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (11).JPG,2020-02-05,20:51:59,0.9999997,1,0.6224729,1.0,True,0,,
40,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S1\0-S1- (17).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (17).JPG,2020-02-07,08:29:38,1.0,1,0.97193027,1.0,False,1,Guanaco,1.0
41,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S1\0-S1- (18).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (18).JPG,2020-02-07,13:51:51,0.71525127,1,0.9580145,1.0,True,0,,
42,C:/Users/Ignacio/Documents/ITBA/analítica/proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S1\0-S1- (19).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (19).JPG,2020-02-07,13:51:53,0.9957729,1,0.94832027,1.0,False,1,Guanaco,1.0
