,Ruta,Sitio,Año,Camara,Extra,Archivo,Fecha,Hora,Animal_proba,Animal,Guanaco_proba,Guanaco,Especie,Cantidad_proba,Cantidad,Validar,Validado
51,/Users/anoguera/Documents/GitHub/RewildingPA/InterfazUsuario/imagenes_test/Muestreo ct Iberica/2021/IB1/0-IB1- (805).JPG,Muestreo ct Iberica,2021,IB1,,0-IB1- (805).JPG,2021-04-21,17:12:54,1.0,1,1.669314686481016e-11,0.0,,,,True,0
70,/Users/anoguera/Documents/GitHub/RewildingPA/InterfazUsuario/imagenes_test/Muestreo ct Iberica/2021/IB1/0-IB1- (825).JPG,Muestreo ct Iberica,2021,IB1,,0-IB1- (825).JPG,2021-04-22,18:36:27,0.9250343,1,,,,,,True,0
49,/Users/anoguera/Documents/GitHub/RewildingPA/InterfazUsuario/imagenes_test/Muestreo ct Iberica/2021/IB1/1-IB1- (932).JPG,Muestreo ct Iberica,2021,IB1,,1-IB1- (932).JPG,2021-05-10,15:29:46,0.008641088,0,,,,,,False,0
87,/Users/anoguera/Documents/GitHub/RewildingPA/InterfazUsuario/imagenes_test/Muestreo ct Iberica/2021/IB1/1-IB1- (963).JPG,Muestreo ct Iberica,2021,IB1,,1-IB1- (963).JPG,2021-05-11,03:40:56,1.0,1,1.4086514966038521e-05,0.0,,,,True,0
74,/Users/anoguera/Documents/GitHub/RewildingPA/InterfazUsuario/imagenes_test/Muestreo ct Iberica/2022/Ib-22 (6)/IMG_0186.JPG,Muestreo ct Iberica,2022,Ib-22 (6),,IMG_0186.JPG,2022-04-30,16:18:36,0.9999994,1,0.6799936294555664,1.0,,,,True,0
72,/Users/anoguera/Documents/GitHub/RewildingPA/InterfazUsuario/imagenes_test/Muestreo ct Iberica/2022/Ib-22 (6)/IMG_0187.JPG,Muestreo ct Iberica,2022,Ib-22 (6),,IMG_0187.JPG,2022-04-30,16:18:39,1.0,1,0.953375518321991,1.0,Guanaco,0.37953895330429077,0.0,True,0
50,/Users/anoguera/Documents/GitHub/RewildingPA/InterfazUsuario/imagenes_test/Muestreo ct Iberica/2022/Ib-22 (6)/IMG_0212.JPG,Muestreo ct Iberica,2022,Ib-22 (6),,IMG_0212.JPG,2022-04-30,16:33:02,0.94984293,1,,,,,,True,0
53,/Users/anoguera/Documents/GitHub/RewildingPA/InterfazUsuario/imagenes_test/Muestreo ct Iberica/2022/Ib-22 (6)/IMG_0236.JPG,Muestreo ct Iberica,2022,Ib-22 (6),,IMG_0236.JPG,2022-04-30,17:50:57,0.9999998,1,0.3741871118545532,0.0,,,,True,0
59,/Users/anoguera/Documents/GitHub/RewildingPA/InterfazUsuario/imagenes_test/Muestreo ct Iberica/2022/Ib-22 (6)/IMG_0237.JPG,Muestreo ct Iberica,2022,Ib-22 (6),,IMG_0237.JPG,2022-04-30,17:50:59,0.99998623,1,0.12465190142393112,0.0,,,,True,0
10,/Users/anoguera/Documents/GitHub/RewildingPA/InterfazUsuario/imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0004.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0004.JPG,2023-02-07,16:06:44,6.3199754e-12,0,,,,,,False,0
64,/Users/anoguera/Documents/GitHub/RewildingPA/InterfazUsuario/imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0007.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0007.JPG,2023-02-07,16:06:55,4.0753916e-14,0,,,,,,False,0
60,/Users/anoguera/Documents/GitHub/RewildingPA/InterfazUsuario/imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0011.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0011.JPG,2023-02-07,16:07:00,3.8279564e-11,0,,,,,,False,0
26,/Users/anoguera/Documents/GitHub/RewildingPA/InterfazUsuario/imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0020.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0020.JPG,2023-02-09,11:45:02,6.617844e-13,0,,,,,,False,0
29,/Users/anoguera/Documents/GitHub/RewildingPA/InterfazUsuario/imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0028.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0028.JPG,2023-02-09,12:06:59,4.201602e-13,0,,,,,,False,0
0,/Users/anoguera/Documents/GitHub/RewildingPA/InterfazUsuario/imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0039.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0039.JPG,2023-02-09,12:24:34,1.9554746e-12,0,,,,,,False,0
68,/Users/anoguera/Documents/GitHub/RewildingPA/InterfazUsuario/imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0094.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0094.JPG,2023-02-09,13:00:14,1.5601373e-07,0,,,,,,False,0
31,/Users/anoguera/Documents/GitHub/RewildingPA/InterfazUsuario/imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0118.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0118.JPG,2023-02-09,13:39:43,2.194892e-15,0,,,,,,False,0
