,Ruta,Cant_pred,y_proba,y_pred,Cant_test,Especie,y_test
20,Muestreo ct Iberica/2021/IB1/1-IB1- (1156).JPG,2,0.07899999999999996,0,1.0,guanaco,1
23,Muestreo ct Iberica/2021/IB1/1-IB1- (1186).JPG,2,0.06099999999999994,0,1.0,guanaco,1
40,Muestreo ct Iberica/2021/IB1/1-IB1- (963).JPG,2,0.07400000000000007,0,1.0,zorro colorado,1
51,Muestreo ct Iberica/2021/IB2/0-IB2- (96).JPG,1,0.934,1,3.0,choique,0
100,Muestreo ct Iberica/2021/IB5/1-IB5- (101).JPG,2,0.06699999999999995,0,1.0,guanaco,1
101,Muestreo ct Iberica/2021/IB5/1-IB5- (106).JPG,3,0.09866666666666657,0,1.0,guanaco,1
113,Muestreo ct Iberica/2021/IB5/1-IB5- (72).JPG,2,0.058499999999999996,0,1.0,guanaco,1
127,Muestreo ct Iberica/2021/IB6/0-IB6- (241).JPG,3,0.048666666666666636,0,1.0,choique,1
142,Muestreo ct Iberica/2021/IB6/0-IB6- (473).JPG,3,0.07166666666666666,0,1.0,choique,1
160,Muestreo ct Iberica/2021/IB6/1-IB6- (1591).JPG,1,0.905,1,5.0,passeriforme,0
166,Muestreo ct Iberica/2021/IB6/1-IB6- (1660).JPG,2,0.045500000000000096,0,1.0,guanaco,1
169,Muestreo ct Iberica/2021/IB6/1-IB6- (1710).JPG,2,0.08400000000000007,0,1.0,guanaco,1
170,Muestreo ct Iberica/2021/IB6/1-IB6- (1716).JPG,2,0.040000000000000036,0,1.0,guanaco,1
207,Muestreo ct Iberica/2022/Ib-22 (1)/IMG_0249.JPG,2,0.031500000000000083,0,1.0,guanaco,1
208,Muestreo ct Iberica/2022/Ib-22 (1)/IMG_0252.JPG,2,0.050000000000000044,0,1.0,guanaco,1
217,Muestreo ct Iberica/2022/Ib-22 (1)/IMG_0692.JPG,2,0.06299999999999994,0,1.0,guanaco,1
218,Muestreo ct Iberica/2022/Ib-22 (1)/IMG_0762.JPG,1,0.956,1,2.0,guanaco,0
232,Muestreo ct Iberica/2022/Ib-22 (2)/IMG_0261.JPG,2,0.04249999999999998,0,1.0,choique,1
237,Muestreo ct Iberica/2022/Ib-22 (4)/IMG_0016.JPG,2,0.07350000000000001,0,1.0,guanaco,1
244,Muestreo ct Iberica/2022/Ib-22 (5)/IMG_0006.JPG,1,0.975,1,2.0,guanaco,0
