,Ruta,Sitio,Año,Camara,Extra,Archivo,Fecha,Hora,Animal_proba,Animal,Guanaco_proba,Guanaco,Especie,Cantidad_proba,Cantidad,Validar,Validado
0,Muestreo ct Iberica/2023/Ib1/100_BTCF/IMG_0001.JPG,Muestreo ct Iberica,2023,Ib1,100_BTCF,IMG_0001.JPG,2023-02-08,12:22:51,0.93922585,1,,,,,,True,0
1,Muestreo ct Iberica/2023/Ib1/100_BTCF/IMG_0002.JPG,Muestreo ct Iberica,2023,Ib1,100_BTCF,IMG_0002.JPG,2023-02-08,12:22:53,0.0098114945,0,,,,,,False,0
3,Muestreo ct Iberica/2023/Ib1/100_BTCF/IMG_0003.JPG,Muestreo ct Iberica,2023,Ib1,100_BTCF,IMG_0003.JPG,2023-02-08,12:22:55,0.96704644,1,4.7367670049425215e-05,0.0,,,,True,0
2,Muestreo ct Iberica/2023/Ib1/100_BTCF/IMG_0004.JPG,Muestreo ct Iberica,2023,Ib1,100_BTCF,IMG_0004.JPG,2023-02-08,12:22:59,0.67259806,1,,,,,,True,0
6,Muestreo ct Iberica/2023/Ib1/100_BTCF/IMG_0005.JPG,Muestreo ct Iberica,2023,Ib1,100_BTCF,IMG_0005.JPG,2023-02-08,12:23:01,0.7645215,1,,,,,,True,0
4,Muestreo ct Iberica/2023/Ib1/100_BTCF/IMG_0006.JPG,Muestreo ct Iberica,2023,Ib1,100_BTCF,IMG_0006.JPG,2023-02-08,12:23:04,0.9999689,1,2.507594899725518e-06,0.0,,,,True,0
5,Muestreo ct Iberica/2023/Ib1/100_BTCF/IMG_0007.JPG,Muestreo ct Iberica,2023,Ib1,100_BTCF,IMG_0007.JPG,2023-02-08,12:23:05,1.0,1,7.75642110966146e-05,0.0,,,,True,0
9,Muestreo ct Iberica/2023/Ib1/100_BTCF/IMG_0008.JPG,Muestreo ct Iberica,2023,Ib1,100_BTCF,IMG_0008.JPG,2023-02-08,12:23:07,0.3752001,0,,,,,,True,0
7,Muestreo ct Iberica/2023/Ib1/100_BTCF/IMG_0009.JPG,Muestreo ct Iberica,2023,Ib1,100_BTCF,IMG_0009.JPG,2023-02-08,12:23:09,0.5434586,1,,,,,,True,0
10,Muestreo ct Iberica/2023/Ib1/100_BTCF/IMG_0010.JPG,Muestreo ct Iberica,2023,Ib1,100_BTCF,IMG_0010.JPG,2023-02-08,12:23:14,0.5247804,1,,,,,,True,0
8,Muestreo ct Iberica/2023/Ib1/100_BTCF/IMG_0011.JPG,Muestreo ct Iberica,2023,Ib1,100_BTCF,IMG_0011.JPG,2023-02-08,12:23:16,0.38492826,0,,,,,,True,0
14,Muestreo ct Iberica/2023/Ib1/100_BTCF/IMG_0012.JPG,Muestreo ct Iberica,2023,Ib1,100_BTCF,IMG_0012.JPG,2023-02-08,12:23:18,0.7387232,1,,,,,,True,0
11,Muestreo ct Iberica/2023/Ib1/100_BTCF/IMG_0013.JPG,Muestreo ct Iberica,2023,Ib1,100_BTCF,IMG_0013.JPG,2023-02-08,18:58:58,0.9999981,1,5.148751824890496e-06,0.0,,,,True,0
12,Muestreo ct Iberica/2023/Ib1/100_BTCF/IMG_0014.JPG,Muestreo ct Iberica,2023,Ib1,100_BTCF,IMG_0014.JPG,2023-02-08,18:59:00,0.999997,1,7.497716433135793e-05,0.0,,,,True,0
13,Muestreo ct Iberica/2023/Ib1/100_BTCF/IMG_0015.JPG,Muestreo ct Iberica,2023,Ib1,100_BTCF,IMG_0015.JPG,2023-02-08,18:59:02,0.999981,1,5.8044257457368076e-05,0.0,,,,True,0
15,Muestreo ct Iberica/2023/Ib1/100_BTCF/IMG_0016.JPG,Muestreo ct Iberica,2023,Ib1,100_BTCF,IMG_0016.JPG,2023-02-08,19:43:20,0.9999914,1,1.7739077975420514e-06,0.0,,,,True,0
18,Muestreo ct Iberica/2023/Ib1/100_BTCF/IMG_0017.JPG,Muestreo ct Iberica,2023,Ib1,100_BTCF,IMG_0017.JPG,2023-02-08,19:43:22,0.9999886,1,1.0567683830231545e-06,0.0,,,,True,0
16,Muestreo ct Iberica/2023/Ib1/100_BTCF/IMG_0018.JPG,Muestreo ct Iberica,2023,Ib1,100_BTCF,IMG_0018.JPG,2023-02-08,19:43:24,0.9999927,1,1.7347514358334593e-06,0.0,,,,True,0
17,Muestreo ct Iberica/2023/Ib1/100_BTCF/IMG_0019.JPG,Muestreo ct Iberica,2023,Ib1,100_BTCF,IMG_0019.JPG,2023-02-08,20:19:50,0.99997705,1,6.882029310872895e-07,0.0,,,,True,0
19,Muestreo ct Iberica/2023/Ib1/100_BTCF/IMG_0020.JPG,Muestreo ct Iberica,2023,Ib1,100_BTCF,IMG_0020.JPG,2023-02-08,20:19:52,0.99998057,1,4.024918212053308e-07,0.0,,,,True,0
20,Muestreo ct Iberica/2023/Ib1/100_BTCF/IMG_0021.JPG,Muestreo ct Iberica,2023,Ib1,100_BTCF,IMG_0021.JPG,2023-02-08,20:19:54,0.9999929,1,3.9328622847278893e-07,0.0,,,,True,0
21,Muestreo ct Iberica/2023/Ib1/100_BTCF/IMG_0022.JPG,Muestreo ct Iberica,2023,Ib1,100_BTCF,IMG_0022.JPG,2023-02-09,02:52:55,0.99998933,1,1.0578316505416296e-05,0.0,,,,True,0
22,Muestreo ct Iberica/2023/Ib1/100_BTCF/IMG_0023.JPG,Muestreo ct Iberica,2023,Ib1,100_BTCF,IMG_0023.JPG,2023-02-09,02:52:57,0.9999998,1,3.2670795917510986e-06,0.0,,,,True,0
23,Muestreo ct Iberica/2023/Ib1/100_BTCF/IMG_0024.JPG,Muestreo ct Iberica,2023,Ib1,100_BTCF,IMG_0024.JPG,2023-02-09,02:52:59,0.9999984,1,4.909275048703421e-07,0.0,,,,True,0
24,Muestreo ct Iberica/2023/Ib1/100_BTCF/IMG_0025.JPG,Muestreo ct Iberica,2023,Ib1,100_BTCF,IMG_0025.JPG,2023-02-09,03:53:06,0.9999962,1,5.91583830100717e-06,0.0,,,,True,0
25,Muestreo ct Iberica/2023/Ib1/100_BTCF/IMG_0026.JPG,Muestreo ct Iberica,2023,Ib1,100_BTCF,IMG_0026.JPG,2023-02-09,03:53:08,0.99993545,1,2.758077698672423e-06,0.0,,,,True,0
