,Ruta,Sitio,Año,Camara,Extra,Archivo,Fecha,Hora,Animal_proba,Animal
0,imagenes_test/Muestreo ct Iberica/2022/Ib-22 (6)/IMG_0212.JPG,Muestreo ct Iberica,2022,Ib-22 (6),,IMG_0212.JPG,2022-04-30,16:33:02,0.949843,1
1,imagenes_test/Muestreo ct Iberica/2022/Ib-22 (6)/IMG_0237.JPG,Muestreo ct Iberica,2022,Ib-22 (6),,IMG_0237.JPG,2022-04-30,17:50:59,0.99998623,1
2,imagenes_test/Muestreo ct Iberica/2022/Ib-22 (6)/IMG_0236.JPG,Muestreo ct Iberica,2022,Ib-22 (6),,IMG_0236.JPG,2022-04-30,17:50:57,0.9999998,1
3,imagenes_test/Muestreo ct Iberica/2022/Ib-22 (6)/IMG_0187.JPG,Muestreo ct Iberica,2022,Ib-22 (6),,IMG_0187.JPG,2022-04-30,16:18:39,1.0,1
4,imagenes_test/Muestreo ct Iberica/2022/Ib-22 (6)/IMG_0186.JPG,Muestreo ct Iberica,2022,Ib-22 (6),,IMG_0186.JPG,2022-04-30,16:18:36,0.9999994,1
5,imagenes_test/Muestreo ct Iberica/2023/Ib7/IMG_0177.JPG,Muestreo ct Iberica,2023,Ib7,,IMG_0177.JPG,2023-03-11,09:52:25,5.980406e-11,0
6,imagenes_test/Muestreo ct Iberica/2023/Ib7/IMG_0167.JPG,Muestreo ct Iberica,2023,Ib7,,IMG_0167.JPG,2023-03-03,17:19:57,3.1231148e-10,0
7,imagenes_test/Muestreo ct Iberica/2023/Ib7/IMG_0173.JPG,Muestreo ct Iberica,2023,Ib7,,IMG_0173.JPG,2023-03-03,17:21:49,5.7053768e-08,0
8,imagenes_test/Muestreo ct Iberica/2023/Ib7/IMG_0164.JPG,Muestreo ct Iberica,2023,Ib7,,IMG_0164.JPG,2023-03-03,17:19:45,7.874175e-09,0
9,imagenes_test/Muestreo ct Iberica/2023/Ib7/IMG_0158.JPG,Muestreo ct Iberica,2023,Ib7,,IMG_0158.JPG,2023-03-03,17:19:00,2.862671e-09,0
10,imagenes_test/Muestreo ct Iberica/2023/Ib7/IMG_0048.JPG,Muestreo ct Iberica,2023,Ib7,,IMG_0048.JPG,2023-02-07,15:29:21,1.449636e-06,0
11,imagenes_test/Muestreo ct Iberica/2023/Ib7/IMG_0138.JPG,Muestreo ct Iberica,2023,Ib7,,IMG_0138.JPG,2023-03-01,15:05:28,8.075944e-08,0
12,imagenes_test/Muestreo ct Iberica/2023/Ib7/IMG_0122.JPG,Muestreo ct Iberica,2023,Ib7,,IMG_0122.JPG,2023-02-23,15:36:35,0.00036099833,0
13,imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0028.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0028.JPG,2023-02-09,12:06:59,4.20157e-13,0
14,imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0006.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0006.JPG,2023-02-11,18:07:34,0.99997425,1
15,imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0012.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0012.JPG,2023-02-13,20:15:47,0.72063696,1
16,imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0007.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0007.JPG,2023-02-07,16:06:55,4.0753838e-14,0
17,imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0039.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0039.JPG,2023-02-09,12:24:34,1.955482e-12,0
18,imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0011.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0011.JPG,2023-02-07,16:07:00,3.827993e-11,0
19,imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0005.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0005.JPG,2023-02-11,18:07:32,0.9999848,1
20,imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0159.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0159.JPG,2023-05-31,05:41:03,0.8666619,1
21,imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0004.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0004.JPG,2023-02-07,16:06:44,6.319999e-12,0
22,imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0010.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0010.JPG,2023-02-13,20:15:44,0.8257604,1
23,imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0066.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0066.JPG,2023-02-19,17:27:46,0.99998933,1
24,imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0094.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0094.JPG,2023-02-09,13:00:14,1.5601374e-07,0
25,imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0041.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0041.JPG,2023-02-19,08:57:35,0.9890664,1
26,imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0055.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0055.JPG,2023-02-19,09:53:07,0.9997382,1
27,imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0040.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0040.JPG,2023-02-19,08:57:34,0.9893086,1
28,imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0118.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0118.JPG,2023-02-09,13:39:43,2.1948834e-15,0
29,imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0084.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0084.JPG,2023-02-19,17:47:48,0.9999547,1
30,imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0021.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0021.JPG,2023-02-15,01:57:36,0.28722236,0
31,imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0020.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0020.JPG,2023-02-09,11:45:02,6.617843e-13,0
32,imagenes_test/Muestreo ct Iberica/2023/Ib3/IMG_0184.JPG,Muestreo ct Iberica,2023,Ib3,,IMG_0184.JPG,2023-02-11,12:44:03,1.2955394e-10,0
