file,category,confidence,Ruta,Fecha,Hora,Datetime,FechaHora,Rafaga
S4-a- (1000).JPG,animal,0.946,Muestreo ct sauce/CT S 2023/S4/S4-a- (1000).JPG,2023-02-20,10:19:22,2023-02-20 10:19:22,2023-02-20 10:19:22,0
S4-a- (1001).JPG,animal,0.959,Muestreo ct sauce/CT S 2023/S4/S4-a- (1001).JPG,2023-02-20,10:19:22,2023-02-20 10:19:22,2023-02-20 10:19:22,0
S4-a- (1002).JPG,animal,0.96,Muestreo ct sauce/CT S 2023/S4/S4-a- (1002).JPG,2023-02-20,10:19:23,2023-02-20 10:19:23,2023-02-20 10:19:23,1
S4-a- (1003).JPG,animal,0.958,Muestreo ct sauce/CT S 2023/S4/S4-a- (1003).JPG,2023-02-20,10:19:36,2023-02-20 10:19:36,2023-02-20 10:19:36,2
S4-a- (1004).JPG,animal,0.959,Muestreo ct sauce/CT S 2023/S4/S4-a- (1004).JPG,2023-02-20,10:19:36,2023-02-20 10:19:36,2023-02-20 10:19:36,3
S4-a- (1005).JPG,animal,0.961,Muestreo ct sauce/CT S 2023/S4/S4-a- (1005).JPG,2023-02-20,10:19:36,2023-02-20 10:19:36,2023-02-20 10:19:36,4
S4-a- (1006).JPG,animal,0.948,Muestreo ct sauce/CT S 2023/S4/S4-a- (1006).JPG,2023-02-20,10:19:53,2023-02-20 10:19:53,2023-02-20 10:19:53,5
S4-a- (1007).JPG,animal,0.952,Muestreo ct sauce/CT S 2023/S4/S4-a- (1007).JPG,2023-02-20,10:19:53,2023-02-20 10:19:53,2023-02-20 10:19:53,6
S4-a- (1008).JPG,animal,0.959,Muestreo ct sauce/CT S 2023/S4/S4-a- (1008).JPG,2023-02-20,10:19:53,2023-02-20 10:19:53,2023-02-20 10:19:53,7
S4-a- (1009).JPG,animal,0.962,Muestreo ct sauce/CT S 2023/S4/S4-a- (1009).JPG,2023-02-20,10:20:01,2023-02-20 10:20:01,2023-02-20 10:20:01,8
S4-a- (1010).JPG,animal,0.96,Muestreo ct sauce/CT S 2023/S4/S4-a- (1010).JPG,2023-02-20,10:20:01,2023-02-20 10:20:01,2023-02-20 10:20:01,9
S4-a- (1011).JPG,animal,0.961,Muestreo ct sauce/CT S 2023/S4/S4-a- (1011).JPG,2023-02-20,10:20:01,2023-02-20 10:20:01,2023-02-20 10:20:01,10
S4-a- (1012).JPG,animal,0.944,Muestreo ct sauce/CT S 2023/S4/S4-a- (1012).JPG,2023-02-20,10:20:09,2023-02-20 10:20:09,2023-02-20 10:20:09,11
S4-a- (1013).JPG,animal,0.934,Muestreo ct sauce/CT S 2023/S4/S4-a- (1013).JPG,2023-02-20,10:20:09,2023-02-20 10:20:09,2023-02-20 10:20:09,12
S4-a- (1014).JPG,animal,0.932,Muestreo ct sauce/CT S 2023/S4/S4-a- (1014).JPG,2023-02-20,10:20:10,2023-02-20 10:20:10,2023-02-20 10:20:10,13
