,Unnamed: 0,Sitio,Año,Camara,Especie,Cantidad,Nombre,Fecha,Hora,Ruta,existe,Rota,esta,Categoria
0,0,Sauce,2020,S1,guanaco,1.0,0-S1- (3).JPG,2020-02-05,20:46,Muestreo ct sauce/CT S 2020/S1/0-S1- (3).JPG,True,False,True,Mamifero Herbivoro
1,1,Sauce,2020,S1,guanaco,1.0,0-S1- (4).JPG,2020-02-05,20:47,Muestreo ct sauce/CT S 2020/S1/0-S1- (4).JPG,True,False,True,Mamifero Herbivoro
2,2,Sauce,2020,S1,guanaco,1.0,0-S1- (5).JPG,2020-02-05,20:47,Muestreo ct sauce/CT S 2020/S1/0-S1- (5).JPG,True,False,True,Mamifero Herbivoro
3,3,Sauce,2020,S1,guanaco,1.0,0-S1- (6).JPG,2020-02-05,20:47,Muestreo ct sauce/CT S 2020/S1/0-S1- (6).JPG,True,False,True,Mamifero Herbivoro
4,4,Sauce,2020,S1,guanaco,4.0,0-S1- (7).JPG,2020-02-05,20:51,Muestreo ct sauce/CT S 2020/S1/0-S1- (7).JPG,True,False,True,Mamifero Herbivoro
5,5,Sauce,2020,S1,guanaco,4.0,0-S1- (8).JPG,2020-02-05,20:51,Muestreo ct sauce/CT S 2020/S1/0-S1- (8).JPG,True,False,True,Mamifero Herbivoro
6,6,Sauce,2020,S1,guanaco,4.0,0-S1- (9).JPG,2020-02-05,20:51,Muestreo ct sauce/CT S 2020/S1/0-S1- (9).JPG,True,False,True,Mamifero Herbivoro
7,7,Sauce,2020,S1,guanaco,4.0,0-S1- (10).JPG,2020-02-05,20:51,Muestreo ct sauce/CT S 2020/S1/0-S1- (10).JPG,True,False,True,Mamifero Herbivoro
8,8,Sauce,2020,S1,guanaco,4.0,0-S1- (11).JPG,2020-02-05,20:52,Muestreo ct sauce/CT S 2020/S1/0-S1- (11).JPG,True,False,True,Mamifero Herbivoro
9,9,Sauce,2020,S1,guanaco,5.0,0-S1- (12).JPG,2020-02-05,20:52,Muestreo ct sauce/CT S 2020/S1/0-S1- (12).JPG,True,False,True,Mamifero Herbivoro
10,10,Sauce,2020,S1,guanaco,5.0,0-S1- (13).JPG,2020-02-05,20:52,Muestreo ct sauce/CT S 2020/S1/0-S1- (13).JPG,True,False,True,Mamifero Herbivoro
11,11,Sauce,2020,S1,guanaco,1.0,0-S1- (14).JPG,2020-02-07,08:29,Muestreo ct sauce/CT S 2020/S1/0-S1- (14).JPG,True,False,True,Mamifero Herbivoro
12,12,Sauce,2020,S1,guanaco,1.0,0-S1- (15).JPG,2020-02-07,08:29,Muestreo ct sauce/CT S 2020/S1/0-S1- (15).JPG,True,False,True,Mamifero Herbivoro
13,13,Sauce,2020,S1,guanaco,1.0,0-S1- (16).JPG,2020-02-07,08:29,Muestreo ct sauce/CT S 2020/S1/0-S1- (16).JPG,True,False,True,Mamifero Herbivoro
14,14,Sauce,2020,S1,guanaco,1.0,0-S1- (17).JPG,2020-02-07,08:29,Muestreo ct sauce/CT S 2020/S1/0-S1- (17).JPG,True,False,True,Mamifero Herbivoro
